loc_acc_x,loc_acc_y,stamp
5.4298885782165204e-06,0.0,1759203759237761716
-1.033305427287302e-06,0.0,1759203759255648024
-3.2287843049752214e-06,0.0,1759203759277238243
6.426406207775825e-06,0.0,1759203759296547065
1.8541614595874563e-06,0.0,1759203759315655536
5.46192109031458e-06,0.0,1759203759338090998
6.745425700022448e-07,0.0,1759203759356765860
-1.167240874265875e-05,0.0,1759203759378286980
-7.464006000693885e-06,0.0,1759203759395476976
-3.358889339734362e-06,0.0,1759203759416693026
-7.5337777203593286e-06,0.0,1759203759436842110
-2.4669480081405724e-06,0.0,1759203759457217934
-1.880038198106988e-06,0.0,1759203759476188456
-3.745493843414166e-06,0.0,1759203759497382343
-2.272078896104484e-06,0.0,1759203759516088764
-3.133387971756308e-06,0.0,1759203759537478774
-1.6170859101124725e-06,0.0,1759203759555443261
-5.0739944910524894e-08,0.0,1759203759576451938
-4.471212619805421e-06,0.0,1759203759596704091
-1.1476940407269123e-08,0.0,1759203759616582934
-4.202317796590186e-06,0.0,1759203759636633234
3.5383319350906757e-07,0.0,1759203759656754648
6.450271804617838e-07,0.0,1759203759675637260
-1.2810585675802274e-06,0.0,1759203759697455300
5.174761748058463e-07,0.0,1759203759716149160
-1.0216071954446582e-06,0.0,1759203759738232899
8.970876759701559e-07,0.0,1759203759755868442
1.5057228098099933e-06,0.0,1759203759777290229
-2.506964695934458e-06,0.0,1759203759797053264
1.228017789846094e-06,0.0,1759203759816592785
1.0782630235531947e-05,0.0,1759203759836719956
2.9314264675264843e-06,0.0,1759203759856547255
1.1471310335123018e-06,0.0,1759203759875863931
1.6623937289718573e-05,0.0,1759203759897251081
-4.165985546161216e-07,0.0,1759203759916362133
1.4193803647055539e-05,0.0,1759203759937057120
-2.625918077390008e-06,0.0,1759203759956561850
1.5805119171404826e-05,0.0,1759203759978891117
-3.0181542107435034e-06,0.0,1759203759995559027
-6.040353063123096e-06,0.0,1759203760016108054
-1.8477361037031194e-06,0.0,1759203760037843236
-5.720805621886494e-06,0.0,1759203760055633603
1.2945273548422773e-05,0.0,1759203760077513898
1.0800399011745934e-06,0.0,1759203760096003888
-1.1814890694123619e-05,0.0,1759203760116878249
2.877489485793625e-06,0.0,1759203760137627823
-1.2267777233307121e-05,0.0,1759203760156402029
-3.17083204811722e-05,0.0,1759203760177251951
-1.2248520896362809e-05,0.0,1759203760196614358
-9.787543859014325e-06,0.0,1759203760215393388
-1.0303710742370875e-05,0.0,1759203760237952727
-7.739745095160018e-06,0.0,1759203760255768289
-1.3811743701738726e-05,0.0,1759203760277943707
-8.251210412230041e-06,0.0,1759203760295720948
-2.6060125923224494e-06,0.0,1759203760316888133
1.3296197222913832e-05,0.0,1759203760336736248
-1.5641947903437676e-07,0.0,1759203760356681595
-1.7623356977955778e-05,0.0,1759203760376993511
-2.479593654643962e-06,0.0,1759203760396248746
-6.18791679258533e-07,0.0,1759203760415444368
-2.2282791871761866e-06,0.0,1759203760438648358
4.9245529756550534e-08,0.0,1759203760455860259
8.18122966850325e-07,0.0,1759203760478701400
-2.9790820994244215e-06,0.0,1759203760496510439
5.030741159152379e-07,0.0,1759203760516594452
-1.3481185518519785e-06,0.0,1759203760536803625
5.86844179804152e-07,0.0,1759203760556870661
2.620365904333998e-05,0.0,1759203760577024559
1.3346202624520473e-05,0.0,1759203760595637166
-6.619767260679797e-07,0.0,1759203760616266417
3.5087744230325712e-06,0.0,1759203760637724686
-1.5237106776243886e-06,0.0,1759203760655873560
-3.2654703204590684e-06,0.0,1759203760676876840
4.776730329315881e-06,0.0,1759203760696766404
9.401377248752715e-07,0.0,1759203760715721794
4.086591457361698e-06,0.0,1759203760738354164
-7.789944446285207e-08,0.0,1759203760755939265
1.6793525229123215e-05,0.0,1759203760777694135
