steer,stamp
0.0,1759219278266245950
0.0,1759219278271194778
0.0,1759219278276169764
5.370243798097363e-06,1759219278281164100
0.0,1759219278286214900
5.370243798097363e-06,1759219278291199966
0.0,1759219278296181982
0.0,1759219278301208915
-5.370243798097363e-06,1759219278306170893
0.0,1759219278311152645
0.0,1759219278316199040
0.0,1759219278321150193
0.0,1759219278326220968
0.0,1759219278331188262
0.0,1759219278336169255
0.0,1759219278341163019
0.0,1759219278346151233
0.0,1759219278351151139
0.0,1759219278356155959
-5.370243798097363e-06,1759219278361147571
0.0,1759219278366143513
5.370243798097363e-06,1759219278371156431
0.0,1759219278376172483
0.0,1759219278381164614
5.370243798097363e-06,1759219278386166780
0.0,1759219278391226789
0.0,1759219278396176162
-5.370243798097363e-06,1759219278401147190
0.0,1759219278406193795
0.0,1759219278411254728
-5.370243798097363e-06,1759219278416194990
5.370243798097363e-06,1759219278421193961
0.0,1759219278426186575
0.0,1759219278431339648
0.0,1759219278436179052
-5.370243798097363e-06,1759219278441191167
5.370243798097363e-06,1759219278446196532
0.0,1759219278451146356
-5.370243798097363e-06,1759219278456204388
5.370243798097363e-06,1759219278461203202
0.0,1759219278466151690
0.0,1759219278471145808
0.0,1759219278476144775
0.0,1759219278481219039
0.0,1759219278486187224
0.0,1759219278491173642
5.370243798097363e-06,1759219278496188824
-5.370243798097363e-06,1759219278501196062
0.0,1759219278506170884
0.0,1759219278511161137
5.370243798097363e-06,1759219278516159019
0.0,1759219278521178353
-5.370243798097363e-06,1759219278526184672
0.0,1759219278531153847
0.0,1759219278536283729
0.0,1759219278541173035
5.370243798097363e-06,1759219278546154048
0.0,1759219278551182129
5.370243798097363e-06,1759219278556179792
0.0,1759219278561173028
0.0,1759219278566188279
5.370243798097363e-06,1759219278571149573
5.370243798097363e-06,1759219278576177290
0.0,1759219278581167392
-5.370243798097363e-06,1759219278586161035
5.370243798097363e-06,1759219278591170705
0.0,1759219278596176505
0.0,1759219278601143774
5.370243798097363e-06,1759219278606143571
0.0,1759219278611162103
-5.370243798097363e-06,1759219278616177761
0.0,1759219278621265287
-5.370243798097363e-06,1759219278626175769
0.0,1759219278631189823
0.0,1759219278636185320
-5.370243798097363e-06,1759219278641165048
-5.370243798097363e-06,1759219278646168660
0.0,1759219278651162641
5.370243798097363e-06,1759219278656186396
5.370243798097363e-06,1759219278661228829
0.0,1759219278666215349
-5.370243798097363e-06,1759219278671237685
-1.0740487596194725e-05,1759219278676313903
0.0,1759219278681190629
-5.370243798097363e-06,1759219278686256158
0.0,1759219278691153310
-1.0740487596194725e-05,1759219278696161446
-5.370243798097363e-06,1759219278701153353
0.0,1759219278706172040
5.370243798097363e-06,1759219278711141991
5.370243798097363e-06,1759219278716210656
0.0,1759219278721237821
0.0,1759219278726200217
-5.370243798097363e-06,1759219278731170757
-5.370243798097363e-06,1759219278736235094
0.0,1759219278741176697
5.370243798097363e-06,1759219278746151469
0.0,1759219278751164974
0.0,1759219278756248118
0.0,1759219278761157424
0.0,1759219278766150605
-5.370243798097363e-06,1759219278771164549
5.370243798097363e-06,1759219278776203675
0.0,1759219278781182370
0.0,1759219278786260154
0.0,1759219278791179453
0.0,1759219278796217404
5.370243798097363e-06,1759219278801239404
0.0,1759219278806283548
0.0,1759219278811195708
-5.370243798097363e-06,1759219278816240767
5.370243798097363e-06,1759219278821400996
5.370243798097363e-06,1759219278826591951
0.0,1759219278831421620
0.0,1759219278836193193
0.0,1759219278841159059
0.0,1759219278846150925
5.370243798097363e-06,1759219278851154804
5.370243798097363e-06,1759219278856226323
0.0,1759219278861157876
0.0,1759219278866169637
0.0,1759219278871153975
-5.370243798097363e-06,1759219278876159674
-5.370243798097363e-06,1759219278881154974
-5.370243798097363e-06,1759219278886194218
-5.370243798097363e-06,1759219278891156591
5.370243798097363e-06,1759219278896246381
0.0,1759219278901215735
5.370243798097363e-06,1759219278906216314
0.0,1759219278911179235
0.0,1759219278916181621
0.0,1759219278921199572
0.0,1759219278926245891
0.0,1759219278931161891
0.0,1759219278936199000
0.0,1759219278941199435
0.0,1759219278946196607
0.0,1759219278951147300
0.0,1759219278956175911
0.0,1759219278961156140
-1.0740487596194725e-05,1759219278966170395
0.0,1759219278971212733
0.0,1759219278976198036
-5.370243798097363e-06,1759219278981148500
0.0,1759219278986173341
0.0,1759219278991218998
0.0,1759219278996175570
-5.370243798097363e-06,1759219279001157311
5.370243798097363e-06,1759219279006192920
-5.370243798097363e-06,1759219279011239166
-5.370243798097363e-06,1759219279016163171
-5.370243798097363e-06,1759219279021152863
0.0,1759219279026364859
-5.370243798097363e-06,1759219279031179580
