ekf_x,ekf_y,ekf_yaw,stamp
89654.7915058426,43117.271289434146,-2.908626983297013,1756667197843624408
89654.68893153175,43117.246951237335,-2.9174351758272423,1756667197860563259
89654.58353071766,43117.22291608566,-2.926561943821448,1756667197883324476
89654.47970889354,43117.20024063228,-2.935493273218979,1756667197900644878
89654.41832093424,43117.20940305209,-2.944596427982289,1756667197924973881
89654.31339587185,43117.18846161231,-2.9532573138674003,1756667197938238325
89654.2082933703,43117.16842968958,-2.961918200185556,1756667197957892337
89654.10133209814,43117.14892609868,-2.9700471443532015,1756667197979889215
89653.99539228606,43117.130572206865,-2.978504046746909,1756667197997132337
89653.93471202115,43117.12634502333,-2.9863626207109,1756667198016645283
89653.82760757295,43117.10958435584,-2.9949672530228595,1756667198032669942
89653.72036287747,43117.09374589265,-3.0035718849045874,1756667198051038372
89653.62942035863,43117.10423399166,-3.0140905996253817,1756667198073426428
89653.52121455879,43117.09036227857,-3.0229503033058136,1756667198088498917
89653.41084043257,43117.07718788836,-3.0318868844415587,1756667198110378739
89653.30147024353,43117.06514097922,-3.0407949981140083,1756667198128125403
89653.19199708563,43117.0540688178,-3.0497031113410524,1756667198162321191
89653.08029784763,43117.04371859771,-3.058271312463432,1756667198188199467
89652.96992773844,43117.03450107159,-3.0670480002038905,1756667198189285528
89652.85694540721,43117.025971052,-3.075033478114211,1756667198221345513
89652.80811217996,43117.027407092435,-3.082031699353373,1756667198238569810
89652.64078783577,43117.017429293264,-3.0946240278484427,1756667198257503212
89652.58280683875,43117.014685899005,-3.098999877818043,1756667198276676641
89652.47044973918,43117.00989740223,-3.107463176999567,1756667198293613606
89652.35647691441,43117.005824352906,-3.1138925073443633,1756667198315673335
89652.24343746142,43117.00269234242,-3.1213861386235866,1756667198329932503
89652.1303777067,43117.000407487816,-3.1288797702774915,1756667198351784546
89652.07819389035,43117.00281440299,-3.1333999347093417,1756667198371393656
89651.96428945978,43117.00188119514,-3.140193689943383,1756667198388220442
89651.79188138945,43117.0015820347,3.1336516505182033,1756667198428297675
89651.70732859857,43117.02607693848,3.127729322241544,1756667198446244740
89651.5928340651,43117.02766431583,3.1213390274935677,1756667198464200829
89651.47617454095,43117.029923531416,3.1159794508026812,1756667198495107952
89651.36085351282,43117.032877918384,3.1100805333919745,1756667198496154953
89651.24443083584,43117.0365082765,3.104780973582239,1756667198527982215
89651.17493985414,43117.05293941684,3.099230898037219,1756667198545904310
89651.05914027621,43117.05784782668,3.0937044293940725,1756667198566023013
89650.94100289856,43117.06346298444,3.0885275435458412,1756667198589916888
89650.8243479562,43117.06965910879,3.0831697157139595,1756667198591263359
89650.74808932621,43117.095025771414,3.07563272470165,1756667198612004327
89650.63074275762,43117.102777187385,3.0694386870613717,1756667198627366097
89650.45479829091,43117.11549435556,3.060147630136402,1756667198665854608
89650.33515499443,43117.12523441149,3.0540073731946635,1756667198688831575
89650.27608547182,43117.13042130217,3.0509237713229322,1756667198704353159
89650.19381799706,43117.15781477289,3.0430148733993185,1756667198730183408
89650.0752426031,43117.169541682364,3.036318087072253,1756667198744423775
89649.95674839409,43117.18206239765,3.0296213004103483,1756667198766759827
89649.77678513843,43117.202265408785,3.019743029932043,1756667198784196290
89649.71726351288,43117.20955420527,3.0164271166724927,1756667198802681081
