actuation_accel_cmd,actuation_brake_cmd,actuation_steer_cmd,stamp
1.0,0.0,-0.006425939965993166,1756544183872127350
1.0,0.0,0.003358017886057496,1756544183873869316
1.0,0.0,-0.0020399398636072874,1756544183890984777
1.0,0.0,0.004238321911543608,1756544183893145136
1.0,0.0,-0.027011333033442497,1756544183912595824
1.0,0.0,-0.010086333379149437,1756544183913103189
1.0,0.0,-0.00850219838321209,1756544183930151091
1.0,0.0,-0.0002621466701384634,1756544183931431803
1.0,0.0,-0.004776707384735346,1756544183950181660
1.0,0.0,0.0003368605684954673,1756544183951085072
1.0,0.0,-0.005443401634693146,1756544183968092558
1.0,0.0,-0.00036454861401580274,1756544183969245583
1.0,0.0,-0.006401608232408762,1756544183986529283
1.0,0.0,-0.0012818357208743691,1756544184007675953
1.0,0.0,0.0015624825609847903,1756544184009267792
1.0,0.0,-0.006125494372099638,1756544184010784542
1.0,0.0,-0.009500333108007908,1756544184027388107
1.0,0.0,-0.01371657382696867,1756544184045456687
1.0,0.0,-0.006085759494453669,1756544184062463956
1.0,0.0,-0.0018464180175215006,1756544184063624411
1.0,0.0,-0.006231020670384169,1756544184082844220
1.0,0.0,-0.0026430515572428703,1756544184084376275
1.0,0.0,-0.008318156003952026,1756544184102303346
1.0,0.0,-0.004224812611937523,1756544184104324268
1.0,0.0,-0.00923630129545927,1756544184122970339
1.0,0.0,-0.005004281643778086,1756544184123733320
1.0,0.0,-0.02967207506299019,1756544184141012037
1.0,0.0,-0.016664275899529457,1756544184142685826
1.0,0.0,-0.016316497698426247,1756544184160672409
1.0,0.0,-0.009552965871989727,1756544184161642242
1.0,0.0,-0.011347942054271698,1756544184178069967
1.0,0.0,-0.014232104644179344,1756544184180186984
1.0,0.0,-0.009538888931274414,1756544184197997870
1.0,0.0,-0.0072227781638503075,1756544184199278569
1.0,0.0,-0.012269368395209312,1756544184217810066
1.0,0.0,-0.008974791504442692,1756544184219498674
1.0,0.0,-0.01743374764919281,1756544184239485375
1.0,0.0,-0.012110428884625435,1756544184240947772
1.0,0.0,-0.05291042476892471,1756544184260887294
1.0,0.0,-0.09371042996644974,1756544184261940716
1.0,0.0,-0.06757070124149323,1756544184282259891
1.0,0.0,-0.04065677151083946,1756544184283797849
1.0,0.0,-0.02770729921758175,1756544184302610238
1.0,0.0,-0.026065612211823463,1756544184303571894
1.0,0.0,-0.029170887544751167,1756544184322681962
1.0,0.0,-0.027110690250992775,1756544184324043448
1.0,0.0,-0.027205590158700943,1756544184341244576
1.0,0.0,-0.02610364928841591,1756544184344167233
1.0,0.0,-0.04296104237437248,1756544184361689944
1.0,0.0,-0.03502676263451576,1756544184363368315
1.0,0.0,-0.034374553710222244,1756544184384062956
1.0,0.0,-0.03030896559357643,1756544184385838264
1.0,0.0,-0.02942855842411518,1756544184405399815
1.0,0.0,-0.03165736421942711,1756544184423647278
1.0,0.0,-0.029698047786951065,1756544184425097318
1.0,0.0,-0.03200625255703926,1756544184443903809
1.0,0.0,-0.030036168172955513,1756544184445288053
1.0,0.0,-0.03598683327436447,1756544184463476133
1.0,0.0,-0.03238971158862114,1756544184465076934
1.0,0.0,-0.03292305767536163,1756544184484179309
1.0,0.0,-0.03083142265677452,1756544184486359154
1.0,0.0,-0.03420797735452652,1756544184502658748
1.0,0.0,-0.03184354305267334,1756544184504029527
1.0,0.0,-0.032054364681243896,1756544184522212724
1.0,0.0,-0.03075428120791912,1756544184523059873
1.0,0.0,-0.048034824430942535,1756544184541358721
1.0,0.0,-0.0398244671523571,1756544184543676896
1.0,0.0,-0.03861114755272865,1756544184560024009
1.0,0.0,-0.03465363010764122,1756544184561075653
1.0,0.0,-0.03380177542567253,1756544184585009781
1.0,0.0,-0.03605789318680763,1756544184599821274
1.0,0.0,-0.03413910046219826,1756544184601449511
1.0,0.0,-0.03640927001833916,1756544184619139290
1.0,0.0,-0.034471940249204636,1756544184619869568
1.0,0.0,-0.033740509301424026,1756544184638532964
1.0,0.0,-0.03504571318626404,1756544184640285818
1.0,0.0,-0.03385471552610397,1756544184656546335
1.0,0.0,-0.03540810942649841,1756544184673861342
1.0,0.0,-0.03419729322195053,1756544184675652386
1.0,0.0,-0.03560697287321091,1756544184694642160
1.0,0.0,-0.034403495490550995,1756544184696341528
1.0,0.0,-0.0358208529651165,1756544184711576111
