#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
87.9056002,89627.3086492,43159.8797061,-2.6556542,-0.0456221,8.333,0.0
88.9045275,89627.7577091,43158.985473,-2.6945295,-0.0322253,8.333,0.0
89.9034548,89628.1775267,43158.0746614,-2.7238523,-0.0262134,8.333,0.0
90.902382,89628.5714817,43157.1574856,-2.7468696,-0.0198453,8.333,0.0
91.9013093,89628.9463497,43156.2348626,-2.7633545,-0.0132307,8.333,0.0
92.9002366,89629.3097596,43155.3040403,-2.7749347,-0.0102364,8.333,0.0
93.8991639,89629.6635899,43154.3696521,-2.7838263,-0.0075628,8.333,0.0
94.8980911,89630.010057,43153.4334151,-2.7900432,-0.0048915,8.333,0.0
95.8970184,89630.3523405,43152.4945559,-2.7934287,-0.0018297,8.333,0.0
96.8959457,89630.6927346,43151.5555524,-2.79369,0.0013083,8.333,0.0
97.894873,89631.0342704,43150.6172276,-2.7908158,0.004447,8.333,0.0
98.8938002,89631.3799771,43149.6803116,-2.7849321,0.0072816,8.333,0.0
99.8927275,89631.7325839,43148.7456819,-2.7762752,0.0100511,8.333,0.0
100.8916548,89632.0946127,43147.8144994,-2.7648482,0.0128244,8.333,0.0
101.8905821,89632.46784,43146.889949,-2.7503649,0.0164106,8.333,0.0
102.8895093,89632.8563822,43145.9710589,-2.7321257,0.0201244,8.333,0.0
103.8884366,89633.2645536,43145.0573766,-2.7102067,0.0236402,8.333,0.0
104.8873639,89633.6943776,43144.1536928,-2.6840472,0.0293602,8.333,0.0
105.8862912,89634.1506507,43143.2629846,-2.6511302,0.0365285,8.333,0.0
106.8852184,89634.89538818358,43142.03927907416,-2.6107841,0.0444505,8.333,0.0
107.8841457,89635.67744703047,43140.79920210363,-2.558977,0.0647289,8.333,0.0
108.883073,89636.43581943543,43139.70579615942,-2.4829027,0.0884565,8.333,0.0
109.8820003,89637.24892915944,43138.74682639513,-2.3853259,0.1039241,8.333,0.0
110.8809275,89638.13824373248,43137.90132090864,-2.2789152,0.0997412,8.333,0.0
111.8798548,89639.01905825897,43137.324658970334,-2.1780901,0.1004957,8.333,-1.5995472
112.8787821,89639.95550788837,43136.99759876302,-2.0686374,0.1219536,8.1389942,-2.7870118
113.8777094,89640.85008730578,43136.6806799437,-1.924619,0.1565286,7.7894276,-2.1238986
114.8766366,89641.72122298651,43136.50339789535,-1.7657817,0.1409611,7.5121197,-3.2432289
115.8755639,89642.57693026253,43136.48858962209,-1.6488454,0.1015627,7.0677042,-3.8248915
116.8744912,89643.39789809201,43136.63462154284,-1.5263641,0.1979028,6.5046803,-0.196492
117.8734185,89644.18469215508,43136.92659731378,-1.2748138,0.2862711,6.4744346,-0.196492
118.8723457,89644.98430701718,43137.357374401,-1.0358509,0.1824338,6.4440469,4.22965
119.871273,89645.71925797805,43137.87070280449,-0.8741466,0.1492074,7.0693681,-2.2149666
120.8702003,89646.35480614801,43138.45894760838,-0.7043423,0.2104443,6.7491321,-0.2115383
121.8691276,89646.8787100952,43139.10770799646,-0.4603008,0.2659093,6.7177498,-0.2115383
122.8680548,89647.28069106638,43139.81625778299,-0.2360597,0.1654732,6.6862201,4.3928733
123.8669821,89647.53299635423,43140.5953223144,-0.1111655,0.1147627,7.3131294,5.0493038
124.8659094,89647.67150450303,43141.43036148109,-0.0014424,0.1075576,7.9730569,2.9377781
125.8648367,89647.68884221159,43142.29692289047,0.1174341,0.1200947,8.333,0.0
126.8637639,89647.58559675181,43143.200832532246,0.2332168,0.1056936,8.333,0.0
127.8626912,89647.36227768162,43144.13837479761,0.3310426,0.0900949,8.333,0.0
128.8616185,89646.96142927845,43145.11083208471,0.4147142,0.0784221,8.333,0.0
129.8605458,89646.61472517745,43146.0402564594,0.4871462,0.0638175,8.333,0.0
130.859473,89645.79040097042,43147.20341952141,0.5414659,0.0443007,8.333,0.0
131.8584003,89645.16280851522,43148.19816956696,0.5749046,0.0229482,8.333,0.0
132.8573276,89644.48039575774,43149.17579319776,0.5901702,0.0114048,8.333,0.0
133.8562549,89643.8234670025,43150.08458231248,0.5985746,0.0053944,8.333,0.0
134.8551821,89643.20266138998,43150.92837461342,0.6009172,-0.0007037,8.333,0.0
135.8541094,89642.58185577746,43151.77216691434,0.5983846,-0.002995,8.333,0.0
136.8530367,89641.96105016496,43152.61595921527,0.5953244,-0.0031333,8.333,0.0
137.851964,89641.34024455244,43153.4597515162,0.5921222,-0.003276,8.333,0.0
138.8508912,89640.71943893992,43154.30354381712,0.5888112,-0.0033117,8.333,0.0
139.8498185,89640.0986333274,43155.14733611805,0.5855189,-0.0032806,8.333,0.0
140.8487458,89639.47782771489,43155.99112841898,0.5822576,-0.0032477,8.333,0.0
141.8476731,89638.85702210237,43156.83492071991,0.5790219,-0.0032438,8.333,0.0
142.8466003,89638.23621648985,43157.67871302083,0.5757752,-0.003258,8.333,0.0
143.8455276,89637.61541087735,43158.52250532176,0.5725128,-0.0032713,8.333,0.0
144.8444549,89636.99460526483,43159.36629762269,0.5692408,-0.0032794,8.333,0.0
145.8433822,89636.3737996523,43160.21008992362,0.5659637,-0.0032839,8.333,0.0
146.8423094,89635.7529940398,43161.05388222454,0.5626798,-0.003288,8.333,0.0
147.8412367,89635.13218842728,43161.89767452547,0.5596618,-0.0023588,8.333,0.0
148.840164,89634.51138281476,43162.7414668264,0.5581157,-0.0007404,8.333,0.0
149.8390913,89633.89057720224,43163.58525912733,0.5581808,0.0008681,8.333,0.0
150.8380185,89633.26977158972,43164.429051428255,0.560833,0.0061174,8.333,0.0
151.8369458,89632.64896597722,43165.27284372918,0.5711049,0.0144488,8.333,0.0
152.8358731,89632.02816036469,43166.11663603011,0.589716,0.0228059,8.333,0.0
153.8348004,89631.40735475218,43166.96042833103,0.6173649,0.0343101,8.333,0.0
154.8337276,89630.78654913967,43167.804220631966,0.6585435,0.0483695,8.333,0.0
